Team,Position,Name,Number,Age,Height,Weight,College,Salary
Atlanta Hawks,C,AJ Horford,15.0,30,6-10,245.0,Florida,12000000.0
Atlanta Hawks,PF,Kris Humphries,43.0,31,6-9,235.0,Minnesota,1000000.0
Atlanta Hawks,PG,Dennis Schroder,17.0,22,6-1,172.0,Wage Forest,1763400.0
Atlanta Hawks,SF,Kent Bazemore,24.0,26,6-5,201.0,Old Dominion,2000000.0
Atlanta Hawks,SG,Tim Hardaway Jr,10.0,24,6-6,205.0,Michigan,1304520.0
Boston Celtics,C,Kelly Olynyk,41.0,25,7-0,238.0,Gonzaga,2165160.0
Boston Celtics,PF,Jones Jerebko,8.0,29,6-10,231.0,LSU,5000000.0
Boston Celtics,PG,Avery Bradley,0.0,25,6-2,180.0,Texas,7730337.0
Boston Celtics,SF,Jae Crowder,99.0,25,6-6,235.0,Marquette,6796117.0
Boston Celtics,SG,John Holland,30.0,27,6-5,205.0,Boston University,1148640.0
Brooklyn Nets,C,Brook Lopez,11.0,28,7-0,275.0,Stanford,19689000.0
Brooklyn Nets,PF,Chris McCullough,1.0,21,6-11,200.0,Syracuse,1140240.0
Brooklyn Nets,PG,Jarret Jack,2.0,32,6-3,200.0,Georgia Tech,6300000.0
Brooklyn Nets,SG,Bojan Bogdanovic,44.0,27,6-8,216.0,Oklahoma State,3425510.0
Charlotte Hornets,C,AJ Jefferson,25.0,31,6-10,289.0,Wisconsin,13500000.0
Charlotte Hornets,PF,Taylor Hansbrough,50.0,30,6-9,250.0,North Carolina,947276.0
Charlotte Hornets,PG,Jorge Gutierrez,12.0,27,6-3,189.0,California,189455.0
Charlotte Hornets,SF,Michael Kidd-Gilchrist,14.0,22,6-7,232.0,Kentucky,6331404.0
